Number,Date,Team,Polar,Tweet
0, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
1, 2019-03-22,Arsenal,0.08, RT PhotoHistorian Philadelphia Central High School for Boys and Pennsylvania State Arsenal Daguerreotype 1839Photographer Joseph Sa
2, 2019-03-22,Arsenal,-0.13, RT TiaCarra BetoORourke Now all eyes turn to only report that matters DOJ IG Horowitzs report with possible criminal referrals on to
3, 2019-03-22,Arsenal,-0.03, RT PatrickTimmons1 Long story short Its because Piers is still salty that Aaron snubbed his handshake in 2015 after years of claiming t
4, 2019-03-22,Arsenal,0, Spurs have learnt from the arsenal mistakes i dont remember arsenal moving in in April
5, 2019-03-22,Arsenal,0, MirrorFootball johncrossmirror Know one knows what Vincent Janssen is doing but hey lets not talk about him but arsenalChrist
6, 2019-03-22,Arsenal,0.02, RT paulsperry Now all eyes turn to only report that matters DOJ IG Horowitzs report with possible criminal referrals on top FBI amp DO
7, 2019-03-22,Arsenal,0.4, Shaji4Football vivekmohan81 DalimaChhibber 10Ronaldinho Wt abt 40 yard free kick from cr7 vs arsenal
8, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
9, 2019-03-22,Arsenal,0, EX ARSENAL STAR EXPOSES FORMER TEAMMATES WNTT via Football Daily
10, 2019-03-22,Arsenal,0.07, RT YouAreMyArsenal NEW ARTICLE To appreciate Mesut zil look no further than Dennis Bergkamp I take a look at t
11, 2019-03-22,Arsenal,0, RT Arsenal On the comeback trailArsenalInDubai
12, 2019-03-22,Arsenal,0, PhilMorandi Arsenal station is on the Piccadilly Line in Highbury amp Islington not Woolwich Though this became sl
13, 2019-03-22,Arsenal,0.3, RT KarlsonUK The Essex region of LordsTavEastern hosted their 1st charity ball gala on Saturday and what a success we were grateful to
14, 2019-03-22,Arsenal,0.1, DayDreamArts Hey whats up my name is Loroko i write and draw ARSENAL the mature comics anthology u can read 1
15, 2019-03-22,Arsenal,0, RT MirrorFootball Arsenal loan star Denis Suarez hits back at Unai Emery training claims
16, 2019-03-22,Arsenal,0, RT Arsenal Stepping out in the Dubai sunArsenalInDubai
17, 2019-03-22,Arsenal,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
18, 2019-03-22,Arsenal,0, RT ChelseaFC DoYouRememberWhen Chelsea 60 Arsenal on this day in 2014
19, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
20, 2019-03-22,Arsenal,0, Arsenal DannyWelbeck Hapy to see you back Welbs
21, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
22, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
23, 2019-03-22,Arsenal,0, RT Lacazettes Thierry Henry talking about our Invincible teamseason How I miss this Arsenal
24, 2019-03-22,Arsenal,0, Arsenal These guys were shamelessly drinking goals like its a calling
25, 2019-03-22,Arsenal,0.4, RT afcstuff David Alaba Bayern Munich on his future Im happy in Munich but of course I can imagine seeing something else in Spai
26, 2019-03-22,Arsenal,0, RT ChelseaFC DoYouRememberWhen Chelsea 60 Arsenal on this day in 2014
27, 2019-03-22,Arsenal,0, talkSPORT Have you watched Arsenal this year
